	Fabp_1	Fabp_2	Fabp_3	Fabp_4	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4
CCND2	2596.02294	2163.525632	1491.389932	3330.937551	4372.969814	3281.118992	5859.498617	3223.621778
CLEC10A	3.121270832	3.185100963	3.257662842	3.010759009	4.472183814	6.928586852	1.230586846	6.506664415
LCK	73.32621698	159.8678406	146.4020485	110.0471353	65.04768445	152.6043626	92.67668197	51.70663895
TCF7	69.68316945	74.43518469	74.58409543	96.28365082	67.91179339	63.39822939	55.75289889	25.64110141
VPREB3	0.951081573	15.99756995	18.25614628	14.5830016	8.637346288	7.340409842	15.83359085	1.885636249
EPN2	191.2641047	162.8947771	141.6186574	355.0298282	229.057366	187.0812045	223.9885879	191.5153597
CFP	14.97024005	24.64535112	24.31495974	57.78071451	58.9635829	19.41616127	16.37336395	25.73690563
MXD1	10531.53321	12444.88622	18570.88594	17920.53892	27997.95986	22550.55683	37271.07685	25058.17606
ACP5	2923.790766	2663.429381	2265.735161	3186.602409	2388.515552	2001.39588	2604.766792	2442.41953
TBX21	8.741778966	29.17834207	13.80822807	8.266390251	6.372187718	11.94873998	4.880938944	1.849849768
ACAP1	8.663102228	56.35988911	67.8935481	51.99807113	43.43972965	36.82387287	32.41213225	19.36621777
GSTT1	399.0031064	122.6208987	155.7277152	243.1757006	121.8976138	85.78182689	145.4100332	163.1915681
CPA3	0	3.972098076	1.731291015	2.036200675	3.243704835	2.15886133	13.73142464	2.053423016
CD3G	80.62056896	113.1695819	88.39535166	34.95296128	56.99416855	87.01198959	27.02653345	42.09948578
BRAF	340.3086089	263.3419889	455.2452654	398.4642517	389.4313226	318.4503008	407.201674	340.8540351
PLA1A	0.929215572	4.408960589	1.132245031	4.56957371	3.212484461	0.938754073	7.653372318	1.839619446
MICAL3	0	29.9455756	0	0	0	0	0	0
EBI3	1.910917841	8.027530919	0	4.584879395	3.253050033	4.56491774	3.597257829	1.875265326
HCK	275.4276052	171.4287379	174.537999	147.4299569	236.3177157	186.3048779	54.60834318	189.9790475
CD79A	9.355136648	149.0816635	186.4572074	199.0511697	170.5031075	37.79585652	240.3076985	47.35393979
ETV3	1405.611629	1457.131384	2045.658035	2080.469625	3532.186615	2213.868276	4120.21818	2454.153824
FOSB	76.08403564	0	0	103.1752834	102.5058595	118.4123149	204.0920848	128.6420487
IL7R	0	25.47787352	20.72717171	0	24.6689867	0	0	0
IL12B	0	1.739201762	2.29016053	1.786740555	7.530249979	2.8279403	2.589457517	1.826582035
CD33	0	0	0	0	5.314274206	0	3.83111796	0
TYR	0.888253312	0.880048805	0	0	0	0	2.67581032	0
LY9	4.511087648	28.33929747	27.92478912	26.58377167	35.17256897	24.99588323	22.71686041	5.330807826
CD244	41.79346364	57.34319877	19.8883539	14.20904671	14.05036631	28.13738942	6.828778055	3.203728551
EMR1	41.49615374	67.40810352	36.38196173	23.50244795	42.00160649	61.61798702	22.08491586	21.22381948
FCER1A	0	8.205589694	0	0.815419572	1.958407823	1.096801593	0	0
SH2D1A	1.415225888	4.426194248	5.518577708	2.728250088	9.727403169	5.627658937	4.356959522	0.921826523
CD247	11.34667994	29.39263799	21.9360449	8.091828235	12.95513184	23.5628827	14.07264944	7.310887191
TNFSF14	1.882095443	5.33466507	4.552273839	1.827004314	7.479918304	6.488666346	3.762493973	1.850860556
P2RX5	0	0.890369193	0	1.804118864	0	0.927720215	0	0
TEP1	1908.534986	1426.501362	1828.826259	1531.132945	2022.732936	1851.253553	2448.868555	1654.093873
ZBTB32	12.86134369	15.05461764	11.691243	12.55340155	25.8315803	27.93007586	38.45154776	57.38818424
GGT5	7.271084442	15.9324812	5.098970066	0	4.78972055	0	40.27411121	2.602533247
PDK1	857.0654617	1207.558624	1343.753985	1448.03998	1889.918009	2454.684173	2466.67424	1608.627729
CYP27B1	0.804264647	0	5.093320807	2.58284128	0	0	0	2.711128319
FZD3	128.0745524	255.3709884	283.0607544	97.6359765	48.80237583	82.27569349	5.27031556	12.92316472
SPIB	114.9900958	153.1911238	209.767812	254.5479771	232.4201333	45.39481311	198.1921378	133.6638686
CCL8	10.31233394	78.3869479	51.7353779	46.23475087	16.07380122	39.19399141	6.333166337	5.504417085
TNFRSF13B	8.333126354	40.14898046	80.71837069	46.94184031	71.48038741	16.66317888	43.8237416	6.633235467
STEAP4	86.31237952	161.6154226	237.2915975	1187.046993	2691.126012	659.028511	3545.612473	643.6750854
BLK	0.934216334	25.77536745	38.94784173	29.20230858	9.608082631	2.773424485	46.65896954	10.18225443
PKD2L2	0	1.710843551	1.115497142	1.012706646	2.08238928	0	0	1.793825826
CSF1	32.30189995	42.06238892	10.64579445	39.63555067	27.8907297	36.18012125	17.2220581	12.16128293
ADAM28	4.621845596	2.633234085	2.289025983	8.143847203	1.078309788	2.826825529	0	0.924711666
NIPSNAP3B	864.4166759	1260.555602	1106.567485	963.0411843	1017.236447	1411.381028	1026.350765	1053.933072
SLAMF1	6.46061663	5.835514816	12.71880447	12.76539684	6.28444692	10.77807963	11.17990448	5.274502581
GZMB	130.5958721	282.5589073	281.1853475	74.80083531	85.05268131	250.3322488	41.81691477	35.87205728
PPFIBP1	386.7875457	339.1057223	398.6455788	470.4940095	676.8068613	629.3392508	730.3019454	650.9625047
PDCD1LG2	1.86672542	7.033995615	2.272953879	0.91338484	2.140170302	2.802687268	1.279944722	0
TRAF4	943.9545582	737.9237845	693.2582063	913.6124846	713.4964816	675.8551582	935.3934848	907.2398857
CD40	4.713420688	27.07203033	8.043726647	18.50674986	12.71885885	5.72776286	21.52981555	3.978779558
MMP9	8.666575132	1.722205064	1.227128802	1.45479868	6.167140225	2.460490674	1.959870652	9.086029115
DHX58	594.9235487	276.0147336	451.445885	415.5258106	662.4869968	636.8843839	514.4285699	119.0858389
IL12RB2	2.095192764	3.217136204	8.328487477	4.850997936	1.960244255	2.154917949	2.33988488	0.832188937
CD68	31.62592183	28.68006322	63.82763658	32.85875545	28.77571805	37.61130254	17.2377178	14.93894074
ARRB1	1735.299807	1085.702326	1252.365198	1027.298652	1176.092735	1168.979871	1184.6327	1234.344113
CSF2	0	1.768481368	1.145139426	0	0	0	0	0
ALOX15	6.732589518	112.7339338	37.44620849	91.73431235	5.367485395	22.3290689	2.712522806	0
CCL4	9.207360947	16.16881834	7.938763608	2.715028815	6.381103976	12.14592011	2.484824468	1.908462688
FRK	3165.04562	2914.021156	3799.598864	2317.422563	3893.153826	4607.29389	3918.535751	2823.834101
NMBR	0	0	0	0	0	0	0	1.834805695
MYB	722.2726415	737.4129543	690.5342001	1033.427579	631.3468946	671.343269	624.0970345	772.9258546
VNN3	0.925146368	3.49844707	2.283593408	0.912669236	0	2.816089333	1.285166654	0
HAL	0	0	0	0	0.510127234	0.446442663	5.561657329	0
LTC4S	29.17374372	9.054088004	6.856069323	14.86726655	13.70650731	21.24273552	7.458660609	21.4973244
ITK	22.2580742	53.49783147	66.33219654	21.54049304	23.57148903	51.73735362	29.12111488	11.43015072
TRIB2	24.08414438	33.70136745	27.29442035	36.49337903	192.8277494	82.15635732	344.192178	147.0929719
RSAD2	670.8989207	222.1358213	526.1511064	546.0385325	878.2190448	768.4919249	1014.704316	124.7599298
CCL1	0.929148088	0.884493049	0	0	0	0.93758116	0	0
P2RX1	14.54020791	7.576333484	6.273671968	1.808368247	5.059046504	5.117755011	0	8.853716261
ASGR1	0	0	0	4.92050745	0	0.687731071	0	0
TSHR	1.000300146	0.475855975	1.237842538	0	0	0	8.162679843	0
MAK	0.937484904	0	0	0	0	0	0	0
LY86	12.1073927	26.20068615	25.09052281	22.56704749	35.49185744	43.89342207	33.66292174	5.509801694
CD180	4.535584485	18.27918161	32.70392018	24.75752449	36.85200787	14.8984276	42.02221029	9.083469256
PTPRG	519.6085781	512.7795721	259.0952089	413.0744372	888.3763671	1723.011877	881.1927261	992.0281491
CDHR1	102.8011136	109.460662	109.6980729	123.620243	84.72261256	109.1283917	102.179648	58.99181281
RNASE6	0.92294512	13.16717958	19.49957609	8.953463317	10.67300471	10.33047109	14.3903829	1.833122564
GPR65	13.81225281	24.42703381	25.06439046	11.67818066	26.6850717	21.85536698	13.10309088	7.321588825
ADAMDEC1	1292.849648	2018.058076	1115.412538	390.0875852	872.3489302	1895.14602	344.5344928	386.4411774
CMA1	14.91441926	1.748449567	6.818698	17.95467017	59.48592018	2.79295761	191.4059997	0
DCSTAMP	0	0	1.149675064	0	0	0	0	0
UPK3A	0	0	0	0	1.075185863	0.930066478	0	0
TNFRSF17	1.895420698	11.4455923	10.33283952	14.59855112	8.590995184	5.554288587	1.254503124	0
MEFV	0	5.936876437	5.577134137	7.883716895	0	7.318333296	7.873878796	5.336516686
CD96	29.3541359	55.68600624	52.41723139	18.96770461	28.02929688	39.47605589	10.495984	15.56665422
ST3GAL6	886.0954497	599.2161027	1019.219545	2582.525342	2111.208567	1132.806811	3260.324323	2882.422511
EAF2	23.0178796	42.56230422	73.93478326	181.9305271	91.64092599	24.40596974	203.3511141	19.88210481
SAMSN1	5.457961326	14.57070979	17.08712548	16.05525128	12.11352749	17.0835421	10.72809809	4.503192914
CD86	6.967366424	32.29323317	20.54794019	19.07339203	15.66013793	23.52741699	27.254971	12.56214749
CXCL13	9.906130123	109.4677078	95.31847421	164.0120211	100.2063798	37.91735413	181.5608807	60.35798815
GZMA	257.9210045	607.9329348	494.685134	81.14394578	152.9165806	430.8371531	84.2443194	66.63696837
CD4	4.934281883	125.6777677	7.545954572	102.8899781	54.71366438	49.74427185	144.7632522	4.957936759
ACHE	24.66677165	49.70598262	33.79213608	23.13325768	19.92275521	33.71543138	44.03625094	26.46295445
MMP25	0	0	2.299350129	0	0	0	0	0
PLA2G7	41.93317212	83.72697793	50.08264075	69.60939192	36.38542779	40.74657458	85.70836003	72.75491739
MEP1A	10023.89507	7086.450912	8661.170222	5027.253663	8314.491816	7080.296188	6318.26448	6950.280838
TREM2	2.176785514	6.352587572	0.938220816	6.425918999	1.243063706	3.169344989	0.791815121	6.644318383
SIK1	91.45529327	64.20081507	79.16472102	85.52971355	108.2983354	63.33110774	188.4450974	105.9074069
QPCT	1.836620451	11.45301507	16.00671117	7.20497766	78.09333475	27.41187478	144.2869691	53.44467387
MZB1	16.85746647	168.0758338	94.17216511	95.85270731	83.5229456	70.74045853	55.05381157	12.05237588
AIF1	7.743576098	39.72888687	24.21561523	40.19797874	59.99098653	44.86789156	14.210231	16.52215449
LTB	21.65941714	91.96767345	73.632868	42.62820438	81.13501571	53.9938246	95.9563637	24.18066488
LTA	2.808432592	5.3082951	4.563028282	5.516715144	3.211843377	0.926967571	16.09493228	0.936887655
RAB27B	818.820461	674.9122424	961.5402687	1082.770399	1493.636056	984.2857037	1716.172855	1741.334086
GALR1	0.937941393	0	0	3.617115712	0	0.929434592	0	7.383902566
CD5	10.32835077	15.81738754	18.46158991	11.8409301	24.66257109	41.84400172	16.27179267	11.08832276
CD6	23.52762097	45.62728484	34.98226366	15.94814982	26.71325668	31.83527775	15.1307469	17.37759881
MS4A1	6.275393032	108.1319136	199.6594807	158.4999018	166.3515461	32.34950932	256.0077506	31.94660273
MS4A2	0	1.284841601	0	0	5.844132686	1.407546897	0	0
MS4A3	0	0	0	0.906563743	0	0	0	0
TRPM6	1466.118283	885.3352576	1151.215625	3280.214647	368.7341589	189.4402122	369.305135	280.3183086
SLC15A3	14.44471111	21.29857154	43.17014416	20.31391657	20.85478077	12.84741767	15.65010476	4.616743895
FRMD8	1026.381197	719.5366862	916.6903289	887.4021503	842.7161678	871.8121097	1134.872868	1401.381207
CTSW	39.0560172	87.06888708	82.89832579	39.19338309	27.93165339	61.55376218	24.00134713	24.85557201
MAP4K2	133.4571166	121.9752708	79.85673493	39.38373756	86.0799014	107.5846398	103.4745958	93.29735105
HHEX	6.143314024	9.929492455	22.44347101	57.1788328	28.41507079	18.71350785	24.72419237	13.89562377
CD7	98.51160749	219.4284153	215.9096048	96.64506046	92.8974046	176.740812	35.9967664	36.070336
PADI4	1.265313179	2.3288925	0.757783505	1.20530279	8.316434109	0.607857089	7.691016252	0
DGKA	1954.735309	2404.192661	3168.359873	2500.049441	3809.515262	3494.00284	5167.241524	3684.56363
CRISP3	40.88387822	17.35688371	5.660377952	22.4159745	63.47967061	7.648288846	43.13086032	60.80226973
ALOX5	123.947955	85.47863069	25.52215169	70.71065583	125.0012648	26.37815477	56.78640741	127.4715243
HK3	0.812582539	11.37595855	7.851076579	4.700850509	15.70257644	3.164022031	4.249750802	0.799627025
IL17A	0	0	1.156000719	0.901603011	0	0	0	0
MSC	0	1.454310728	1.884228999	4.468145382	1.542491139	1.545996643	3.225605426	0
SLCO5A1	0	2.430135786	0.783167906	5.889230768	0	0	0	1.502703473
ICOS	3.618612224	21.95113575	13.65778981	10.82562951	10.67554562	8.544969749	20.89440753	5.557928264
CTLA4	0	0	5.629830536	0	0	6.630156969	0	1.845798572
CD28	4.06480165	7.20543255	31.35499844	6.557622412	11.59312598	15.54688254	5.999456884	3.343534961
IL18RAP	11.71282209	16.19978636	19.64753043	15.27652404	35.2821911	13.93592558	30.17797216	9.104071404
IL1RL1	22.15663231	25.61954715	17.90136278	17.32635366	69.83565152	8.675231592	4.426929978	11.84557036
IL18R1	15.86753724	17.56325878	26.12435935	5.751033432	13.36639458	12.67718255	11.76690063	7.137142696
ZAP70	23.68047724	62.05178617	33.78307482	17.66283851	14.7839942	40.46177553	28.3841343	18.35569723
CCL20	29.73462041	37.55003292	77.99955313	166.6220026	83.51315768	8.674595701	32.13428431	31.98603414
CYP27A1	186.9566521	169.5637815	157.8865316	157.2159954	179.4047727	46.21981408	483.0547662	165.7761035
CXCR2	6.450359694	0.874889515	2.279737056	6.336168313	2.139378477	3.741141905	2.595742518	3.703429026
HTR2B	0.929143869	0	0	0	1.081206509	0	0	0
PASK	86.18420202	76.08328345	87.18368134	58.3533217	37.80308731	51.34671709	27.70813356	48.35784184
PDCD1	0.933469681	9.762029576	6.824071644	6.352934956	4.3046231	8.326357615	5.04617301	3.724378479
TNFRSF11A	1222.10049	970.9515085	1153.488474	1509.356195	1424.253362	1229.763094	1306.651356	1229.476744
RGS1	14.32877921	30.94899303	40.23948107	22.76994413	16.77632211	39.75611832	15.26331177	20.09569198
MARCO	2.799484426	3.527550384	0	0.906097643	1.065025911	0.931657671	2.562909236	0
NCF2	254.8802477	338.6287797	296.288819	585.2340825	375.2483036	167.1538964	528.224718	229.0682746
MNDA	19.39630601	14.6546079	13.76113359	9.785388418	34.37934211	29.41333195	8.041165992	2.703584832
SELL	14.47988913	16.7305411	27.8287299	54.55029014	44.26098097	18.57122591	32.85526874	2.167666639
