"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034330","GO:0034330","cell junction organization","98/1304","414/10269",2.78092050444881e-10,1.35180545721257e-06,1.17325572440325e-06,"Fmr1/Itga3/Jup/Septin7/Rac1/Rhoc/Cacnb3/Coro1c/Pkn2/Chmp2b/Ndrg1/Epha2/Ctnnb1/Rhoa/Ptprs/Ppfibp1/Cntnap1/Myo1c/Hnf4a/Pmp22/Cldn7/Perp/Lims1/Itgb4/Ocln/F2rl1/Wnt5a/Ywhaz/Sh3bp1/Hdac7/Plec/Arc/Cxadr/App/Vegfa/Mapre2/Lama3/Afg3l2/Tjp2/Slc1a1/Ube3a/Baiap2/Smad7/Dst/Ngef/Pkp1/Abl2/Fcgr2b/Itgav/Itpka/Nphp1/Mfn1/Slc7a11/Tlr2/Sdcbp/Actb/Caprin2/Tjp1/Iqgap1/Cask/Cttn/Cadm1/Smad3/Pdcd6ip/Phldb2/Zdhhc15/Ctnnd1/Eef2k/Pcdh17/Lrfn3/Shank2/Lzts3/Ctnna1/Igsf9/Chmp4b/Clstn1/Rhod/S100a10/Sipa1l1/Fmn1/Dsg2/Pard6b/Fzd1/Cldn2/Cldn4/Lamb2/Pkp3/Adam10/Actn4/Dsp/Ntrk2/Cldn23/Flot1/Erbb2/Sema3e/Dusp22/Cldn3/Heg1",98
"GO:0034329","GO:0034329","cell junction assembly","61/1304","226/10269",4.14742743653101e-09,1.00803223844886e-05,8.74888903453489e-06,"Jup/Rac1/Rhoc/Coro1c/Pkn2/Epha2/Ctnnb1/Rhoa/Ptprs/Cntnap1/Myo1c/Pmp22/Cldn7/Lims1/Itgb4/Ocln/Wnt5a/Sh3bp1/Hdac7/Plec/App/Vegfa/Lama3/Smad7/Dst/Pkp1/Itgav/Nphp1/Tlr2/Sdcbp/Actb/Tjp1/Iqgap1/Cttn/Cadm1/Smad3/Pdcd6ip/Phldb2/Ctnnd1/Eef2k/Pcdh17/Lrfn3/Shank2/Ctnna1/Clstn1/Rhod/S100a10/Sipa1l1/Fmn1/Pard6b/Fzd1/Cldn2/Cldn4/Pkp3/Actn4/Ntrk2/Cldn23/Flot1/Dusp22/Cldn3/Heg1",61
"GO:0045216","GO:0045216","cell-cell junction organization","40/1304","123/10269",7.36892885690696e-09,1.15764113232909e-05,1.00473709294708e-05,"Jup/Rac1/Rhoc/Pkn2/Epha2/Ctnnb1/Rhoa/Cntnap1/Myo1c/Hnf4a/Pmp22/Cldn7/Perp/Lims1/Ocln/F2rl1/Hdac7/Cxadr/Vegfa/Tjp2/Smad7/Pkp1/Nphp1/Actb/Tjp1/Smad3/Pdcd6ip/Ctnnd1/Ctnna1/Dsg2/Pard6b/Cldn2/Cldn4/Pkp3/Adam10/Actn4/Dsp/Cldn23/Cldn3/Heg1",40
"GO:0032989","GO:0032989","cellular component morphogenesis","99/1304","449/10269",1.26070733322169e-08,1.15764113232909e-05,1.00473709294708e-05,"Ifrd1/Septin7/Rac1/Coro1c/Rab11a/Map2k1/Eif4g2/Atp5g1/Epha2/Ctnnb1/Bcl2l1/Fzd3/Ptprs/Map2/Xk/Pacsin2/Cntnap1/Etv4/Pitpna/Pmp22/Ndel1/Ywhah/Sema6a/Egfr/Cobl/Rtn4/Itgb4/Mink1/Spag9/Slirp/Arhgef28/Wnt5a/Sdc2/Trio/Arc/App/Vegfa/Lama3/Afg3l2/Mark2/Ube3a/Baiap2/Raph1/Cflar/Dst/Agfg1/Ngef/Stk25/Lamc2/Abl2/Plxna2/Stxbp1/Nckap1/Itpka/Aurka/Skil/Mfn1/Tlr2/Efna4/Stmn1/Actb/Caprin2/Ercc2/Vasp/Iqgap1/Usp9x/Cask/Cttn/Nek3/Slit2/Ist1/Acta1/Capn9/Phldb2/Zdhhc15/Pla2g3/Map2k2/Eef2k/Zswim4/Kdm1a/Sh3glb1/Shank2/Lzts3/Sema7a/Smurf1/Sipa1l1/Fmn1/Rtn4rl1/B3gnt2/Lamb2/Adam10/Ep300/Ntrk2/B4galt6/Abi1/Flot1/Btbd3/Erbb2/Sema3e",99
"GO:0048812","GO:0048812","neuron projection morphogenesis","86/1304","373/10269",1.36575451182206e-08,1.15764113232909e-05,1.00473709294708e-05,"Ifrd1/Septin7/Rac1/Rab11a/Map2k1/Eif4g2/Atp5g1/Epha2/Ctnnb1/Fzd3/Ptprs/Map2/Xk/Cntnap1/Etv4/Pitpna/Pmp22/Ndel1/Ywhah/Sema6a/Egfr/Cobl/Rtn4/Mink1/Spag9/Arhgef28/Wnt5a/Sdc2/Trio/Arc/App/Vegfa/Lama3/Afg3l2/Mark2/Ube3a/Baiap2/Raph1/Dst/Ngef/Stk25/Lamc2/Abl2/Plxna2/Stxbp1/Nckap1/Itpka/Aurka/Skil/Mfn1/Efna4/Stmn1/Actb/Caprin2/Vasp/Iqgap1/Usp9x/Cask/Cttn/Nek3/Slit2/Ist1/Zdhhc15/Map2k2/Eef2k/Zswim4/Kdm1a/Sh3glb1/Shank2/Lzts3/Sema7a/Smurf1/Sipa1l1/Fmn1/Rtn4rl1/B3gnt2/Lamb2/Adam10/Ep300/Ntrk2/B4galt6/Abi1/Flot1/Btbd3/Erbb2/Sema3e",86
"GO:0048858","GO:0048858","cell projection morphogenesis","88/1304","385/10269",1.42889257230498e-08,1.15764113232909e-05,1.00473709294708e-05,"Ifrd1/Septin7/Rac1/Coro1c/Rab11a/Map2k1/Eif4g2/Atp5g1/Epha2/Ctnnb1/Fzd3/Ptprs/Map2/Xk/Pacsin2/Cntnap1/Etv4/Pitpna/Pmp22/Ndel1/Ywhah/Sema6a/Egfr/Cobl/Rtn4/Mink1/Spag9/Arhgef28/Wnt5a/Sdc2/Trio/Arc/App/Vegfa/Lama3/Afg3l2/Mark2/Ube3a/Baiap2/Raph1/Dst/Ngef/Stk25/Lamc2/Abl2/Plxna2/Stxbp1/Nckap1/Itpka/Aurka/Skil/Mfn1/Efna4/Stmn1/Actb/Caprin2/Vasp/Iqgap1/Usp9x/Cask/Cttn/Nek3/Slit2/Ist1/Zdhhc15/Map2k2/Eef2k/Zswim4/Kdm1a/Sh3glb1/Shank2/Lzts3/Sema7a/Smurf1/Sipa1l1/Fmn1/Rtn4rl1/B3gnt2/Lamb2/Adam10/Ep300/Ntrk2/B4galt6/Abi1/Flot1/Btbd3/Erbb2/Sema3e",88
"GO:0060284","GO:0060284","regulation of cell development","79/1304","335/10269",1.90242482816968e-08,1.31182238764555e-05,1.13855371532463e-05,"Axin2/Fmr1/Ifrd1/Rac1/Calr/Coro1c/Rab11a/Map2k1/Eif4g2/Atp5g1/Arpc2/Ctnnb1/Fzd3/Ptprs/Map2/Cers2/Ndel1/Ywhah/Sema6a/Lims1/Egfr/Appl2/Rtn4/Aspa/Rflnb/Hif1a/Id4/Xrcc4/Wnt5a/Runx1/Vegfa/Spry4/Tjp2/P4hb/Baiap2/Smad7/Stk25/Plxna2/Fbn1/Ell3/Itpka/Spint1/Bmp2/Aurka/Skil/Mfn1/Tlr2/Arhgef2/Ski/Bhlhe40/Caprin2/Tnfrsf1a/Idh2/Cask/Slit2/Ist1/Il34/Mt3/Trib1/Map2k2/Eef2k/Kdm1a/Sh3glb1/Ctnna1/Sema7a/Dusp10/Tspo/Rnf10/S100a10/Dock5/Shb/Atxn1/Actn4/Ep300/Ntrk2/Per2/Hmga2/B2m/Sema3e",79
"GO:0030855","GO:0030855","epithelial cell differentiation","83/1304","359/10269",2.15893419073532e-08,1.31182238764555e-05,1.13855371532463e-05,"Rac1/Sult2b1/Keap1/Map2k1/Prlr/Upk1a/Epha2/Ctnnb1/Rhoa/Id3/Ptprs/Tsg101/Notch4/Etv4/Hnf4a/Rtn4/Sgpp1/Hif1a/F2rl1/Map3k1/Gata4/Wnt5a/Spry2/Scel/Sh3bp1/Vegfa/Lbh/Dnase1l2/Anxa1/Tjp2/Men1/Flnb/Nr5a2/Tagln2/Abl2/Acvr1/Spred1/Bmp2/Skil/Ugcg/Tmem38b/Errfi1/Prom1/Rilpl2/Tnfrsf1a/Ercc2/Tjp1/Vsig1/Casp3/Myo1e/Smad3/Ctnnd1/Tdrd7/Prkx/Btg1/Spry1/Clic4/Cdkn1c/Jmjd1c/Prdm1/Txnip/Ppl/Esrp1/C1galt1/Asxl1/Maff/Fzd1/Spred2/Plaur/Sprr2h/Sfn/Trim16/Sprr1a/Ezr/Lamb2/Kdm2a/Dsp/Klf2/Gsdmc2/Ces1d/Ccnd1/Cldn3/Heg1",83
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis","87/1304","384/10269",2.68003529037969e-08,1.44751683850397e-05,1.25632531506922e-05,"Ifrd1/Septin7/Rac1/Coro1c/Rab11a/Map2k1/Eif4g2/Atp5g1/Epha2/Ctnnb1/Fzd3/Ptprs/Map2/Xk/Cntnap1/Etv4/Pitpna/Pmp22/Ndel1/Ywhah/Sema6a/Egfr/Cobl/Rtn4/Mink1/Spag9/Arhgef28/Wnt5a/Sdc2/Trio/Arc/App/Vegfa/Lama3/Afg3l2/Mark2/Ube3a/Baiap2/Raph1/Dst/Ngef/Stk25/Lamc2/Abl2/Plxna2/Stxbp1/Nckap1/Itpka/Aurka/Skil/Mfn1/Efna4/Stmn1/Actb/Caprin2/Vasp/Iqgap1/Usp9x/Cask/Cttn/Nek3/Slit2/Ist1/Zdhhc15/Map2k2/Eef2k/Zswim4/Kdm1a/Sh3glb1/Shank2/Lzts3/Sema7a/Smurf1/Sipa1l1/Fmn1/Rtn4rl1/B3gnt2/Lamb2/Adam10/Ep300/Ntrk2/B4galt6/Abi1/Flot1/Btbd3/Erbb2/Sema3e",87
"GO:0032990","GO:0032990","cell part morphogenesis","90/1304","404/10269",3.57718806988627e-08,1.73887112077172e-05,1.50919681937939e-05,"Ifrd1/Septin7/Rac1/Coro1c/Rab11a/Map2k1/Eif4g2/Atp5g1/Epha2/Ctnnb1/Bcl2l1/Fzd3/Ptprs/Map2/Xk/Pacsin2/Cntnap1/Etv4/Pitpna/Pmp22/Ndel1/Ywhah/Sema6a/Egfr/Cobl/Rtn4/Mink1/Spag9/Slirp/Arhgef28/Wnt5a/Sdc2/Trio/Arc/App/Vegfa/Lama3/Afg3l2/Mark2/Ube3a/Baiap2/Raph1/Dst/Ngef/Stk25/Lamc2/Abl2/Plxna2/Stxbp1/Nckap1/Itpka/Aurka/Skil/Mfn1/Efna4/Stmn1/Actb/Caprin2/Vasp/Iqgap1/Usp9x/Cask/Cttn/Nek3/Slit2/Ist1/Zdhhc15/Map2k2/Eef2k/Zswim4/Kdm1a/Sh3glb1/Shank2/Lzts3/Sema7a/Smurf1/Sipa1l1/Fmn1/Rtn4rl1/B3gnt2/Lamb2/Adam10/Ep300/Ntrk2/B4galt6/Abi1/Flot1/Btbd3/Erbb2/Sema3e",90
