"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070161","GO:0070161","anchoring junction","101/1319","397/10332",2.16011498474192e-12,1.18590312662332e-09,9.36807761803866e-10,"Cav2/Dlg3/Jup/Keap1/Pkn2/Map2k1/Ndrg1/Fgfr4/Arpc2/Epha2/Ctnnb1/Atp1a2/Rhoa/Pacsin2/Cntnap1/Tns4/Pmp22/Cldn7/Ywhah/Grb7/Perp/Lims1/Itgb4/Pdlim7/Ocln/Pdlim2/Sh3bp1/Plec/Cxadr/App/Vegfa/Mapre2/Lama3/Tjp2/Add3/Flnb/Smad7/Dst/Pkp1/Capn2/Niban2/Itgb6/Itgav/Nphp1/Anxa5/Arhgef2/Epb41l4b/Slc2a1/Slc9a1/Tec/Tes/Actb/Aoc1/Frmd4b/Vasp/Tjp1/Iqgap1/Cask/Cttn/Irf2/Cadm1/Myo1e/Pdcd6ip/Lmo7/Phldb2/Tnks1bp1/Ctnnd1/Map2k2/Wtip/Ssx2ip/Rap2b/Clic4/Ctnna1/Lasp1/Usp53/Plekhg5/Ddx58/Pvr/Gjb5/Gjb3/Dsg2/Pard6b/Epcam/Gjb4/Cldn2/Cldn4/Prag1/Pcdh1/Ezr/Camk2d/Pkp3/Actn4/Dsp/Cldn23/Flot1/Patj/Mapk3/Ahnak/Ccnd1/Cldn3/Heg1",101
"GO:0005911","GO:0005911","cell-cell junction","81/1319","298/10332",1.0055047047704e-11,2.76011041459475e-09,2.18035757034424e-09,"Dlg3/Jup/Keap1/Pkn2/Ndrg1/Fgfr4/Epha2/Ctnnb1/Atp1a2/Rhoa/Pacsin2/Cntnap1/Pmp22/Cldn7/Ywhah/Perp/Lims1/Pdlim7/Ocln/Pdlim2/Sh3bp1/Cxadr/App/Vegfa/Lama3/Tjp2/Add3/Smad7/Dst/Pkp1/Niban2/Nphp1/Anxa5/Arhgef2/Epb41l4b/Slc2a1/Slc9a1/Tec/Actb/Aoc1/Frmd4b/Vasp/Tjp1/Iqgap1/Cask/Cadm1/Myo1e/Pdcd6ip/Lmo7/Tnks1bp1/Ctnnd1/Map2k2/Wtip/Ssx2ip/Rap2b/Clic4/Ctnna1/Usp53/Plekhg5/Ddx58/Pvr/Gjb5/Gjb3/Dsg2/Pard6b/Epcam/Gjb4/Cldn2/Cldn4/Pcdh1/Camk2d/Pkp3/Actn4/Dsp/Cldn23/Flot1/Patj/Ahnak/Ccnd1/Cldn3/Heg1",81
"GO:0031226","GO:0031226","intrinsic component of plasma membrane","109/1319","490/10332",1.78580080782959e-09,3.26801547832814e-07,2.58157871166944e-07,"Cav2/Icosl/Dlg3/Itga3/Aqp1/Fgfr4/Upk1a/Epha2/Atp1a2/Lrrc8a/Kcnq1/Ptprs/Eps8/Erbb3/Pmp22/Sema6a/Slc16a10/Perp/Egfr/Hcn2/Canx/Rtn4/Itgb4/Esyt2/Slc6a19/F2rl1/Samd8/Tnfrsf21/Pgap6/Abcg8/Npc1/Trpm6/Slc1a1/Slc16a3/Chuk/Abhd6/Slc15a1/Adipor1/Plxna2/Fcgr2b/Acvr1/Itgb6/Itgav/Slc28a2/Bmp2/Trpm7/Vmn2r1/Tlr2/Tspan5/Cdh17/Sdcbp/Slc2a1/Slc9a1/Prom1/P2rx4/Slc13a1/Clec2d/Adipor2/Tmc5/Slco2b1/Aqp8/Cttn/Slc6a14/Cadm1/Plscr1/Mst1r/P2ry2/Rnf43/Mfsd12/Kcne3/Chrnb4/Pcdh17/Dagla/Slc2a13/Eepd1/Noxa1/Lrfn3/Slc30a1/Shank2/Tnfrsf23/Sema7a/Slco4a1/Clstn1/Ipo8/Elapor1/Abcg5/Slc26a7/Kcnd3/Tmc7/Adora1/Rtn4rl1/Plaur/Tmem150b/Lrrc8e/Gjb4/Rnf31/Cldn4/Marcksl1/Pcdh1/Ptprt/Ntrk2/Ghr/Slc4a4/Ifnlr1/Erbb2/Sema3e/Clca4a/Hs3st3b1/Lrrc8b",109
"GO:0005887","GO:0005887","integral component of plasma membrane","103/1319","460/10332",3.53412299038287e-09,4.85058380430049e-07,3.83173334746774e-07,"Cav2/Icosl/Dlg3/Itga3/Aqp1/Fgfr4/Upk1a/Epha2/Atp1a2/Lrrc8a/Kcnq1/Ptprs/Eps8/Erbb3/Pmp22/Sema6a/Slc16a10/Perp/Egfr/Hcn2/Canx/Rtn4/Itgb4/Esyt2/Slc6a19/F2rl1/Samd8/Tnfrsf21/Pgap6/Abcg8/Npc1/Trpm6/Slc1a1/Slc16a3/Chuk/Abhd6/Slc15a1/Plxna2/Fcgr2b/Acvr1/Itgb6/Itgav/Slc28a2/Bmp2/Trpm7/Vmn2r1/Tlr2/Tspan5/Cdh17/Sdcbp/Slc2a1/Slc9a1/Prom1/P2rx4/Slc13a1/Clec2d/Tmc5/Slco2b1/Aqp8/Cttn/Slc6a14/Cadm1/Plscr1/Mst1r/P2ry2/Rnf43/Mfsd12/Kcne3/Chrnb4/Pcdh17/Dagla/Slc2a13/Noxa1/Lrfn3/Slc30a1/Shank2/Sema7a/Slco4a1/Clstn1/Ipo8/Elapor1/Abcg5/Slc26a7/Kcnd3/Tmc7/Adora1/Plaur/Tmem150b/Lrrc8e/Gjb4/Rnf31/Cldn4/Pcdh1/Ptprt/Ntrk2/Ghr/Slc4a4/Ifnlr1/Erbb2/Sema3e/Clca4a/Hs3st3b1/Lrrc8b",103
"GO:0045121","GO:0045121","membrane raft","60/1319","238/10332",1.02077165236919e-07,9.34006061917807e-06,7.3782091364229e-06,"Cav2/Coro1c/Aqp1/Ctnnb1/Atp1a2/Kcnq1/Lamp2/Pacsin2/Myo1c/Egfr/Ppp2ca/Emp2/Arc/Cxadr/App/Rhoq/Npc1/Slc1a1/Cflar/Cd55/Capn2/Fcgr2b/Tfpi/Gnas/Sis/Tlr2/Bcl10/Sdcbp/Slc2a1/Slc9a1/Actb/Abcg2/Tnfrsf1a/Furin/Iqgap1/Cask/Casp3/Tradd/Anxa2/Plscr1/Gnai2/Ctnnd1/Eef2/Kcne3/Rap2b/Hk1/Tnfrsf23/Ctnna1/Cpe/Itln1/Kcnd3/S100a10/Rtn4rl1/Ezr/Flot1/Erbb2/Mapk3/Eno1/Ahnak/Hspa1a",60
"GO:0098857","GO:0098857","membrane microdomain","60/1319","238/10332",1.02077165236919e-07,9.34006061917807e-06,7.3782091364229e-06,"Cav2/Coro1c/Aqp1/Ctnnb1/Atp1a2/Kcnq1/Lamp2/Pacsin2/Myo1c/Egfr/Ppp2ca/Emp2/Arc/Cxadr/App/Rhoq/Npc1/Slc1a1/Cflar/Cd55/Capn2/Fcgr2b/Tfpi/Gnas/Sis/Tlr2/Bcl10/Sdcbp/Slc2a1/Slc9a1/Actb/Abcg2/Tnfrsf1a/Furin/Iqgap1/Cask/Casp3/Tradd/Anxa2/Plscr1/Gnai2/Ctnnd1/Eef2/Kcne3/Rap2b/Hk1/Tnfrsf23/Ctnna1/Cpe/Itln1/Kcnd3/S100a10/Rtn4rl1/Ezr/Flot1/Erbb2/Mapk3/Eno1/Ahnak/Hspa1a",60
"GO:0015629","GO:0015629","actin cytoskeleton","75/1319","324/10332",1.24296276899743e-07,9.74837943113698e-06,7.70076181694648e-06,"Kat2b/Jup/Septin7/Rac1/Snx9/Keap1/Coro1c/Arpc2/Arpc5/Map2/Myo1c/Ppp1r12a/Cobl/Dynll2/Rflnb/Pdlim7/Dapk1/Map3k1/Pdlim2/Spry2/Asap1/Arc/Rhoq/Myo7b/Anxa1/Ehbp1l1/Mark2/Flnb/Baiap2/Dctn2/Dst/Septin2/Abl2/Nckap1/Arhgef2/Tpm2/Slc2a1/Cap1/Ptpn12/Actb/Iqgap1/Aldoa/Cttn/Klhl2/Acta1/Myo1e/Anxa2/Tpm1/Pdcd6ip/Mst1r/Tnks1bp1/Ints6/Arhgap21/Eef1a1/Ctnna1/Mical2/Lasp1/Vill/Ddx58/Plekhh2/Myzap/Sipa1l1/Fmn1/Ezr/Cnn3/Actn4/Capg/Flot1/Cttnbp2nl/Dusp22/Ahnak/Ang/Septin5/Wipf1/Wipf3",75
"GO:0043296","GO:0043296","apical junction complex","33/1319","101/10332",1.51255021416743e-07,9.98853409314569e-06,7.8904727185812e-06,"Dlg3/Pkn2/Ctnnb1/Rhoa/Cntnap1/Pmp22/Cldn7/Ocln/Sh3bp1/Cxadr/Tjp2/Nphp1/Arhgef2/Epb41l4b/Actb/Aoc1/Frmd4b/Vasp/Tjp1/Pdcd6ip/Ctnnd1/Rap2b/Ctnna1/Usp53/Ddx58/Pard6b/Epcam/Cldn2/Cldn4/Cldn23/Patj/Ccnd1/Cldn3",33
"GO:0070160","GO:0070160","tight junction","31/1319","92/10332",1.63746460543372e-07,9.98853409314569e-06,7.8904727185812e-06,"Dlg3/Epha2/Ctnnb1/Cntnap1/Pmp22/Cldn7/Ocln/Sh3bp1/Cxadr/Tjp2/Nphp1/Arhgef2/Epb41l4b/Actb/Aoc1/Frmd4b/Vasp/Tjp1/Pdcd6ip/Ctnnd1/Rap2b/Usp53/Ddx58/Pard6b/Epcam/Cldn2/Cldn4/Cldn23/Patj/Ccnd1/Cldn3",31
"GO:1903561","GO:1903561","extracellular vesicle","25/1319","68/10332",3.91360733888758e-07,1.98705528620132e-05,1.56968033345786e-05,"Sri/Aqp1/Rab11a/Clic1/Tsg101/Lamp2/Arc/Anxa1/Cubn/Arrdc1/Sord/Sdcbp/Prom1/Alb/Aoc1/Aldoa/Ist1/Anxa2/Pdcd6ip/Rap2b/Xpnpep2/Arrdc4/Krt13/Gprc5a/Ahnak",25
