NAME,NES,NOM p-val,FDR q-val
HALLMARK_ALLOGRAFT_REJECTION,-2.3750296,0,0
HALLMARK_INTERFERON_GAMMA_RESPONSE,-2.2319603,0,0
HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.9466645,0,3.62E-04
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.9310788,0,2.71E-04
HALLMARK_E2F_TARGETS,-1.8867173,0,4.12E-04
HALLMARK_COMPLEMENT,-1.8362702,0,0.001703121
HALLMARK_KRAS_SIGNALING_UP,-1.7026861,0.001402525,0.008156077
HALLMARK_ANGIOGENESIS,-1.6733154,0.005119454,0.01067532
HALLMARK_INFLAMMATORY_RESPONSE,-1.6455702,0,0.012662677
HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.6161182,0.017857144,0.01643066
HALLMARK_G2M_CHECKPOINT,-1.5977799,0.002677376,0.019061837
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-1.4993707,0.010339734,0.047830332
HALLMARK_COAGULATION,-1.4968677,0.017595308,0.045014165
HALLMARK_KRAS_SIGNALING_DN,-1.4570807,0.03748126,0.06134415
HALLMARK_MYOGENESIS,-1.3989093,0.031944446,0.097153425
