NAME,NES,NOM p-val,FDR q-val
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.40952,0,0
HALLMARK_COAGULATION,2.4001153,0,0
HALLMARK_TGF_BETA_SIGNALING,2.1125398,0,0
HALLMARK_APICAL_JUNCTION,1.9546678,0,4.64E-04
HALLMARK_UV_RESPONSE_DN,1.7946934,0,0.003234454
HALLMARK_HYPOXIA,1.7909259,0,0.002836004
HALLMARK_ANGIOGENESIS,1.7294985,0.012867647,0.00652113
HALLMARK_KRAS_SIGNALING_UP,1.7183118,0.001712329,0.006093799
HALLMARK_ESTROGEN_RESPONSE_EARLY,1.7125065,0,0.006078798
HALLMARK_IL2_STAT5_SIGNALING,1.6697453,0,0.00806098
HALLMARK_APICAL_SURFACE,1.4758954,0.06883365,0.050402656
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.4658527,0.02003339,0.051392037
HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.4253628,0.083333336,0.06615626
HALLMARK_MITOTIC_SPINDLE,1.3892144,0.02177294,0.08451477
HALLMARK_COMPLEMENT,1.370119,0.025167786,0.09120914
HALLMARK_APOPTOSIS,1.3681612,0.03565365,0.08680263
HALLMARK_INTERFERON_ALPHA_RESPONSE,-2.9261203,0,0
HALLMARK_INTERFERON_GAMMA_RESPONSE,-2.6984234,0,0
HALLMARK_FATTY_ACID_METABOLISM,-1.8281552,0,0.00511529
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-1.637856,0,0.021220502
HALLMARK_E2F_TARGETS,-1.583251,0.002890173,0.029929686
HALLMARK_BILE_ACID_METABOLISM,-1.4860662,0.02238806,0.057243764
HALLMARK_ADIPOGENESIS,-1.438873,0.007978723,0.0741207
HALLMARK_KRAS_SIGNALING_DN,-1.3777329,0.07025761,0.108028896
HALLMARK_PEROXISOME,-1.3712438,0.025761124,0.09997166
