NAME,NES,NOM p-val,FDR q-val
HALLMARK_TGF_BETA_SIGNALING,2.1718519,0,0
HALLMARK_KRAS_SIGNALING_UP,2.0696962,0,0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.0558932,0,0
HALLMARK_APICAL_JUNCTION,1.8979435,0,7.87E-04
HALLMARK_COAGULATION,1.8801457,0,6.30E-04
HALLMARK_ANDROGEN_RESPONSE,1.8177363,0,0.001710078
HALLMARK_MYOGENESIS,1.7585328,0,0.003549896
HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.731938,0,0.003981737
HALLMARK_UV_RESPONSE_DN,1.7163783,0,0.004757064
HALLMARK_ESTROGEN_RESPONSE_EARLY,1.7046181,0,0.004710871
HALLMARK_ANGIOGENESIS,1.6718079,0.005671077,0.0063584
HALLMARK_HYPOXIA,1.589954,0.005050505,0.014554609
HALLMARK_P53_PATHWAY,1.5682336,0,0.01687996
HALLMARK_IL2_STAT5_SIGNALING,1.5268296,0.005084746,0.02261261
HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.5121909,0.028520498,0.024672145
HALLMARK_PROTEIN_SECRETION,1.4207673,0.020618556,0.04730555
HALLMARK_APOPTOSIS,1.4013163,0.014705882,0.05319348
HALLMARK_HEME_METABOLISM,1.3986974,0.009836066,0.051496185
HALLMARK_PEROXISOME,1.3742349,0.040139616,0.060279068
HALLMARK_INTERFERON_ALPHA_RESPONSE,-3.3841186,0,0
HALLMARK_INTERFERON_GAMMA_RESPONSE,-3.195969,0,0
HALLMARK_E2F_TARGETS,-3.0051816,0,0
HALLMARK_G2M_CHECKPOINT,-2.5477254,0,0
HALLMARK_MITOTIC_SPINDLE,-1.5048811,0.002673797,0.041785292
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-1.4447079,0.005249344,0.05762191
HALLMARK_ALLOGRAFT_REJECTION,-1.4321032,0.01728395,0.055198893
HALLMARK_DNA_REPAIR,-1.4292536,0.005602241,0.050017446
HALLMARK_MYC_TARGETS_V1,-1.4252018,0.002857143,0.045593083
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-1.4201251,0.023195876,0.04310556
HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.3881657,0.04918033,0.050944794
