NAME	DESCRIPTION	Fabp_1	Fabp_2	Fabp_3	Fabp_4	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4
ENSMUSG00000000001	NA	4078.008871	4102.817347	4721.663814	3926.741015	4531.060232	5133.527835	4516.344895	4074.740444
ENSMUSG00000000028	NA	105.1739776	104.5541105	81.84914953	105.0736853	75.74923949	112.9815769	45.12168618	51.43939322
ENSMUSG00000000037	NA	16.56044452	7.801972515	6.681696072	13.70370829	2.69163191	2.413769528	4.498888816	24.79230424
ENSMUSG00000000049	NA	7.852539282	10.12246794	6.448802129	10.75296997	2.468035009	5.027288717	2.985539284	4.989288579
ENSMUSG00000000056	NA	798.4794616	1033.694656	1413.372602	1029.89253	1492.435937	1435.654997	1752.833618	1559.493122
ENSMUSG00000000058	NA	113.0356562	39.75150035	54.79391364	106.9053763	308.0780055	277.3411659	555.409044	268.8596794
ENSMUSG00000000078	NA	5544.872214	5180.275751	7131.774292	5770.412034	12820.53002	14322.27549	16691.2506	13914.65931
ENSMUSG00000000085	NA	297.7644463	279.5710445	321.3568508	509.6885594	451.0191717	395.9508023	492.0191887	596.3925405
ENSMUSG00000000088	NA	7712.565507	9125.807547	8446.155595	7993.010284	6871.413995	7749.099122	6357.592539	7205.544508
ENSMUSG00000000093	NA	7.93673584	15.11133722	10.56208364	6.433786814	7.430074586	18.18557216	12.91127369	7.424032143
ENSMUSG00000000094	NA	0.940882408	0.882744034	1.145558028	1.829034352	0	0	1.255042769	2.747173527
ENSMUSG00000000120	NA	0.952649378	5.298011138	1.15528928	1.818559691	5.317244513	3.719236894	2.467966183	1.854929022
ENSMUSG00000000125	NA	0.935255849	1.75122963	0	1.813411884	0	0	0	0.924839702
ENSMUSG00000000126	NA	3.75091977	0.884093107	1.147037781	0.910108449	2.12311134	2.764001937	0	1.865402634
ENSMUSG00000000127	NA	235.8163526	199.2117196	272.2318076	210.4776006	266.7647395	266.055236	278.4232579	233.0897312
ENSMUSG00000000131	NA	835.34504	812.9852192	927.5067599	784.4341286	826.9066963	941.5498579	911.549639	865.5732042
ENSMUSG00000000134	NA	434.1770512	403.9882405	484.7037884	270.2131695	610.1824765	482.1928862	484.3881507	510.5276102
ENSMUSG00000000142	NA	511.8796657	278.5412503	286.7870005	268.5142518	74.79487534	104.6904956	39.80663146	86.81790973
ENSMUSG00000000148	NA	166.6692316	189.3531264	158.9926244	168.9573398	223.2871307	190.7859496	183.9061427	236.1339087
ENSMUSG00000000149	NA	468.3635165	448.8616362	447.8753132	301.3816072	508.0770142	625.3599918	394.7541977	479.9967334
ENSMUSG00000000154	NA	2213.309825	2502.350828	2640.54014	2040.10009	2480.248748	2559.336079	2074.009559	2340.088509
ENSMUSG00000000157	NA	0	0	0	0	0	0.933190272	0	0
ENSMUSG00000000159	NA	1063.986736	1361.996519	1472.942816	1473.705275	1542.88393	1464.336276	1954.369757	1453.136052
ENSMUSG00000000167	NA	18.08794911	7.809250163	8.561528648	11.26348039	13.91275138	9.323500955	6.741023613	11.06465882
ENSMUSG00000000168	NA	1223.589581	1461.98392	1557.424996	1872.890579	1353.312686	1382.12772	1532.366362	1518.921714
ENSMUSG00000000171	NA	5619.605978	6546.164333	5926.446584	6314.181202	4428.731082	4912.457122	4281.859114	5377.104032
ENSMUSG00000000183	NA	0	0	0	0	0	0	2.533266535	0
ENSMUSG00000000184	NA	2596.02294	2163.525632	1491.389932	3330.937551	4372.969814	3281.118992	5859.498617	3223.621778
ENSMUSG00000000194	NA	1701.741891	1760.454685	1880.486385	1341.444261	2091.163323	2171.517068	2218.084418	2101.290706
ENSMUSG00000000202	NA	1.307805106	1.731325373	2.303218069	0	0.69710434	0	2.728701843	2.14483212
ENSMUSG00000000204	NA	353.2706524	319.0756622	701.6095143	844.7335549	660.6538668	917.9606315	1205.216476	368.0346973
ENSMUSG00000000214	NA	2.266823528	0	0	0	0	0	0	0.758816299
ENSMUSG00000000216	NA	20.57224452	40.23783104	48.17604227	146.6689194	1163.489602	71.42499659	2459.107515	121.5236185
ENSMUSG00000000223	NA	1.742489095	3.009721636	1.946320629	2.619777398	5.858543887	6.012828535	2.939881672	3.119896657
ENSMUSG00000000244	NA	0	0	17.53478803	19.95554918	11.90500652	6.627852375	8.606522759	0
ENSMUSG00000000247	NA	1.97345211	0	0	4.586478751	2.124754935	1.847575676	7.081891163	0.941924457
ENSMUSG00000000248	NA	0	4.362957296	2.255033805	0.897251775	0	0	5.244755246	0.921562088
ENSMUSG00000000253	NA	151.6458568	117.9086274	97.84107193	232.8409313	79.67294926	38.77991142	125.2681553	87.02428609
ENSMUSG00000000266	NA	1142.475023	1261.888379	1493.650136	1091.48182	855.6529216	941.2431153	980.3394048	756.0890058
ENSMUSG00000000275	NA	4495.71624	3243.364351	4908.958615	3788.118695	7836.049963	7893.224291	7272.913462	4775.374593
ENSMUSG00000000276	NA	121.8711811	88.16132564	120.2864048	65.38913088	103.2497144	94.52696952	89.82299822	100.1831728
ENSMUSG00000000278	NA	767.0775299	1339.202876	1294.904832	680.1668973	609.6103942	816.9038812	333.212833	930.9287506
ENSMUSG00000000282	NA	354.6241597	344.6026251	405.782131	299.4991023	495.0473773	461.2989644	636.8964856	353.3255705
ENSMUSG00000000290	NA	64.77691856	170.0407416	111.621751	98.22034881	107.6239801	148.7786685	97.73035131	44.66898006
ENSMUSG00000000295	NA	127.4772026	137.6999398	107.8266885	164.9366128	128.4352977	153.256252	81.60304399	133.2004823
ENSMUSG00000000301	NA	63.2591267	26.04627248	44.06082175	43.42740239	44.9582144	37.24958871	30.0117588	34.83635648
ENSMUSG00000000303	NA	19278.21523	14240.0874	17119.3973	20022.19986	31325.27038	23731.26254	40165.9649	25507.41578
ENSMUSG00000000305	NA	0.61211696	0.576642818	0	1.188460484	3.476030646	2.42088636	9.071928937	15.21000052
ENSMUSG00000000308	NA	19137.30417	19119.715	26488.2762	43002.92494	25674.09171	18728.1447	33772.89143	25636.63753
ENSMUSG00000000317	NA	5.588205143	0.673902304	2.577910748	3.44377967	4.000871414	13.42560431	2.847048057	1.408240224
ENSMUSG00000000318	NA	3.121270832	3.185100963	3.257662842	3.010759009	4.472183814	6.928586852	1.230586846	6.506664415
ENSMUSG00000000320	NA	6.531668686	0.821055602	4.241832145	3.392089057	15.32693691	3.327385667	47.91742781	9.140862853
ENSMUSG00000000325	NA	31.34607105	36.94712409	41.98506819	57.66598496	26.46547745	48.78276853	114.0019961	56.36056013
ENSMUSG00000000326	NA	1492.324246	1514.647794	1294.519709	1361.76229	1070.84157	976.3589545	996.4577083	1128.153265
