"","Fabp_1","Fabp_2","Fabp_3","Fabp_4","KrasG12D_1","KrasG12D_2","KrasG12D_3","KrasG12D_4"
"ENSMUSG00000000001",4078.00887071151,4102.81734704669,4721.66381357244,3926.74101516421,4531.06023188952,5133.52783546697,4516.34489527348,4074.74044445453
"ENSMUSG00000000028",105.173977599191,104.55411054074,81.8491495333476,105.07368534082,75.7492394928617,112.981576871043,45.1216861842242,51.4393932180338
"ENSMUSG00000000056",798.479461611431,1033.69465550872,1413.3726024878,1029.89252988761,1492.43593654021,1435.65499744006,1752.83361832505,1559.49312241631
"ENSMUSG00000000058",113.035656215925,39.7515003521697,54.7939136392068,106.905376288527,308.078005489543,277.341165878395,555.409044000062,268.859679388015
"ENSMUSG00000000078",5544.87221375588,5180.27575092179,7131.77429247361,5770.41203415749,12820.5300223188,14322.2754912991,16691.2506045056,13914.6593129533
"ENSMUSG00000000085",297.764446277402,279.571044503578,321.356850769485,509.688559420564,451.019171737118,395.950802328675,492.019188700861,596.392540469795
"ENSMUSG00000000088",7712.56550746951,9125.80754666397,8446.15559537133,7993.01028420351,6871.41399483568,7749.09912206693,6357.59253911463,7205.54450808619
"ENSMUSG00000000127",235.816352625315,199.211719576862,272.231807590862,210.477600550359,266.764739547749,266.055235982338,278.423257923376,233.089731166128
"ENSMUSG00000000131",835.345039977018,812.985219169274,927.506759920085,784.43412856612,826.906696294683,941.549857936196,911.549638956425,865.573204249162
"ENSMUSG00000000134",434.177051226141,403.98824049698,484.703788360831,270.213169528387,610.182476485333,482.192886203337,484.388150651597,510.527610159869
"ENSMUSG00000000142",511.87966572574,278.541250329309,286.787000531536,268.514251798626,74.7948753373906,104.690495556511,39.8066314577705,86.8179097308326
"ENSMUSG00000000148",166.669231570177,189.353126424993,158.992624363118,168.957339843113,223.287130687706,190.785949622873,183.906142688259,236.133908654607
"ENSMUSG00000000149",468.363516547654,448.861636194072,447.875313171928,301.381607153438,508.077014156076,625.359991819592,394.754197717026,479.996733408269
"ENSMUSG00000000154",2213.30982471562,2502.35082825839,2640.54013992797,2040.10009049435,2480.24874788303,2559.33607868761,2074.00955945468,2340.0885093384
"ENSMUSG00000000159",1063.98673557104,1361.99651883499,1472.94281608521,1473.70527474917,1542.88393022118,1464.33627598655,1954.36975729585,1453.13605236964
"ENSMUSG00000000168",1223.58958100442,1461.98391984131,1557.42499596942,1872.89057948373,1353.31268649075,1382.12771992064,1532.36636160412,1518.92171400832
"ENSMUSG00000000171",5619.60597849803,6546.16433341473,5926.446583573,6314.18120231206,4428.73108191146,4912.45712212663,4281.85911392683,5377.10403153872
"ENSMUSG00000000184",2596.02294032014,2163.52563228111,1491.38993157892,3330.9375508463,4372.96981368162,3281.11899193443,5859.49861714023,3223.62177774039
"ENSMUSG00000000194",1701.74189073888,1760.45468504151,1880.48638523721,1341.44426089389,2091.16332293703,2171.51706818426,2218.08441780729,2101.29070601934
"ENSMUSG00000000204",353.270652424115,319.075662157214,701.609514270474,844.73355488608,660.653866790289,917.960631493059,1205.21647606733,368.03469732343
"ENSMUSG00000000216",20.5722445168106,40.2378310418447,48.1760422719432,146.668919445489,1163.48960209233,71.4249965923907,2459.10751513137,121.523618523404
"ENSMUSG00000000253",151.645856804126,117.908627414828,97.8410719274483,232.840931265861,79.6729492649964,38.7799114168638,125.268155284905,87.0242860870522
"ENSMUSG00000000266",1142.47502285855,1261.88837877927,1493.65013623127,1091.48182029312,855.652921559646,941.243115348548,980.339404792053,756.089005752595
"ENSMUSG00000000275",4495.71624049471,3243.36435113303,4908.95861469692,3788.11869483086,7836.049963248,7893.22429119942,7272.91346208804,4775.37459339681
"ENSMUSG00000000276",121.871181107476,88.161325643222,120.286404770221,65.3891308805311,103.249714414919,94.5269695228344,89.822998221133,100.183172769536
"ENSMUSG00000000278",767.077529941737,1339.20287618467,1294.90483170304,680.16689727177,609.610394214579,816.90388117174,333.212832998419,930.928750561368
"ENSMUSG00000000282",354.624159678701,344.602625076928,405.782131038955,299.499102279536,495.047377265531,461.298964391257,636.896485568519,353.325570463426
"ENSMUSG00000000290",64.7769185554391,170.040741602643,111.621750997198,98.2203488102326,107.623980100019,148.778668501483,97.7303513073147,44.6689800551316
"ENSMUSG00000000295",127.477202633162,137.699939808915,107.826688454965,164.936612788417,128.435297730342,153.256251970995,81.6030439937538,133.200482251181
"ENSMUSG00000000303",19278.2152343001,14240.0873957136,17119.3972968018,20022.1998560713,31325.2703843586,23731.2625415132,40165.9649012197,25507.4157764691
"ENSMUSG00000000308",19137.3041739121,19119.7150010561,26488.2762030687,43002.9249387488,25674.0917051473,18728.1447015958,33772.8914328538,25636.6375265608
"ENSMUSG00000000325",31.3460710549176,36.9471240918233,41.9850681874553,57.6659849643089,26.4654774457148,48.782768527161,114.0019961051,56.360560132571
"ENSMUSG00000000326",1492.32424617961,1514.64779398365,1294.51970854634,1361.7622901102,1070.8415701094,976.358954483873,996.457708264298,1128.15326463532
