"","Fabp_1","Fabp_2","Fabp_3","Fabp_4","KrasG12D_1","KrasG12D_2","KrasG12D_3","KrasG12D_4"
"ENSMUSG00000000001",4474,4671,4182,4338,4274,5419,3416,4427
"ENSMUSG00000000028",108,122,77,119,69,116,36,54
"ENSMUSG00000000056",816,1227,1030,1398,1415,1611,1316,1627
"ENSMUSG00000000058",108,53,59,146,287,223,340,313
"ENSMUSG00000000078",6128,5872,6296,6367,12072,15075,12738,15076
"ENSMUSG00000000085",356,328,288,545,417,379,432,571
"ENSMUSG00000000088",8222,10176,7481,8811,6563,8320,5049,7623
"ENSMUSG00000000127",249,230,245,243,252,278,211,246
"ENSMUSG00000000131",909,860,815,935,801,940,723,936
"ENSMUSG00000000134",451,438,422,462,485,455,369,533
"ENSMUSG00000000142",445,310,243,291,80,98,37,105
"ENSMUSG00000000148",177,211,140,185,205,203,154,253
"ENSMUSG00000000149",483,507,385,333,473,679,329,515
"ENSMUSG00000000154",2367,2822,2321,2187,2284,2826,1678,2503
"ENSMUSG00000000159",1178,1556,1377,1695,1351,1602,1421,1534
"ENSMUSG00000000168",1504,1674,1359,2018,1239,1383,1106,1736
"ENSMUSG00000000171",6094,7339,5215,6963,4168,5258,3363,5761
"ENSMUSG00000000184",2839,2439,1316,3656,4127,3490,4535,3475
"ENSMUSG00000000194",1885,1874,1725,1806,1965,2156,1685,2036
"ENSMUSG00000000204",385,366,619,942,615,979,922,394
"ENSMUSG00000000216",22,46,42,162,1081,77,1920,132
"ENSMUSG00000000253",180,129,97,294,61,37,85,108
"ENSMUSG00000000266",1255,1435,1318,1202,807,1006,746,812
"ENSMUSG00000000275",4894,3748,4358,4190,7128,8271,5731,5147
"ENSMUSG00000000276",131,103,105,73,92,95,69,119
"ENSMUSG00000000278",813,1522,1130,748,570,881,264,1008
"ENSMUSG00000000282",394,401,368,340,486,521,387,394
"ENSMUSG00000000290",70,197,99,110,103,157,79,44
"ENSMUSG00000000295",117,154,98,179,124,171,66,151
"ENSMUSG00000000303",20570,16179,14946,21982,29424,25273,31683,27820
"ENSMUSG00000000308",18764,21044,23430,46473,24351,20716,28617,27955
"ENSMUSG00000000325",59,48,37,42,44,39,55,56
"ENSMUSG00000000326",1584,1686,1138,1498,1019,1052,799,1201
"ENSMUSG00000000339",842,1117,813,708,530,752,271,670
"ENSMUSG00000000340",533,498,390,516,249,346,183,385
"ENSMUSG00000000346",4943,5972,4967,6362,6093,6596,5018,6865
"ENSMUSG00000000355",250,315,212,245,198,265,135,218
"ENSMUSG00000000374",1957,2180,2192,3027,2875,2852,2971,2800
"ENSMUSG00000000378",348,387,282,414,345,427,357,416
"ENSMUSG00000000384",1170,1414,1149,1239,831,1234,512,1030
"ENSMUSG00000000385",4832,5376,5217,15519,6310,3826,7334,7220
"ENSMUSG00000000386",73,49,43,84,108,83,87,20
"ENSMUSG00000000394",776,1026,356,615,118,168,61,311
"ENSMUSG00000000399",1597,2295,1467,1816,1337,1744,983,1861
"ENSMUSG00000000409",108,198,136,96,82,169,54,43
"ENSMUSG00000000416",50,49,30,64,45,34,44,114
"ENSMUSG00000000420",2030,2221,1827,2037,2738,3019,2635,2919
"ENSMUSG00000000439",291,293,244,265,227,215,285,278
